SourceFile,SourceCreated,SourceModified,SourceAccessed,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,NetworkPath,CommonPath,Arguments,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,MACVendor,TrackerCreatedOn,ExtraBlocksPresent
C:\484\LNK\AIRPORT INFORMATION.lnk,2021-10-06 00:54:36,2018-04-04 05:11:46,2021-10-06 00:56:40,2018-03-30 02:29:57,2018-04-04 04:59:32,2018-04-04 04:59:32,172684,..\..\..\..\..\Desktop\AIRPORT INFORMATION.docx,C:\Users\jcloudy\Desktop,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\AIRPORT INFORMATION.docx,,,,My Computer\Desktop\AIRPORT INFORMATION.docx,0x2079F,0x8,desktop-pm6c56d,28:e3:47:01:77:77,LITEON,2018-03-27 21:45:39,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\484\LNK\AMEN.lnk,2021-10-06 00:54:36,2018-04-06 03:55:00,2021-10-06 00:56:40,,,,0,..\..\..\..\..\Desktop\AMEN.pdf,C:\Users\jcloudy\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\AMEN.pdf,,,,My Computer\Desktop\AMEN.pdf,0x0,,,,,,
C:\484\LNK\BladeofGrass.lnk,2021-10-06 00:54:36,2018-03-31 04:15:54,2021-10-06 00:56:40,,,,0,..\..\..\..\..\Desktop\BladeofGrass.jpg,C:\Users\jcloudy\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\BladeofGrass.jpg,,,,My Computer\Desktop\BladeofGrass.jpg,0x0,,,,,,
C:\484\LNK\CloudLog (D).lnk,2021-10-06 00:54:36,2018-03-27 09:23:16,2021-10-06 00:56:40,1980-01-01 04:00:00,1980-01-01 04:00:00,1980-01-01 04:00:00,0,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking","Removable storage media (Floppy, USB)",4C36F4AC,CloudLog,D:\,,,,D:\,,,,,,,
C:\484\LNK\Cloudy thoughts (4apr).lnk,2021-10-06 00:54:36,2018-04-05 02:41:02,2021-10-06 00:56:40,2018-04-05 02:39:29,2018-04-05 02:39:30,2018-04-05 02:39:30,12547,..\..\..\..\..\Desktop\Cloudy thoughts (4apr).docx,C:\Users\jcloudy\Desktop,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\Cloudy thoughts (4apr).docx,,,,My Computer\Desktop\Cloudy thoughts (4apr).docx,0x21C18,0x7,desktop-pm6c56d,28:e3:47:01:77:77,LITEON,2018-04-04 06:24:29,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\484\LNK\CubaDearmed.jpg_large.lnk,2021-10-06 00:54:36,2018-03-30 21:22:56,2021-10-06 00:56:40,,,,0,..\..\..\..\..\Desktop\CubaDearmed.jpg_large,C:\Users\jcloudy\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\CubaDearmed.jpg_large,,,,My Computer\Desktop\CubaDearmed.jpg_large,0x0,,,,,,
"C:\484\LNK\Cubs' Anthony Rizzo Praises Parkland Kids, Says 'It's too Easy to Get a Gun'.lnk",2021-10-06 00:54:36,2018-03-30 04:32:26,2021-10-06 00:56:41,,,,0,"..\..\..\..\..\Desktop\Cubs' Anthony Rizzo Praises Parkland Kids, Says 'It's too Easy to Get a Gun'.html",C:\Users\jcloudy\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,"C:\Users\jcloudy\Desktop\Cubs' Anthony Rizzo Praises Parkland Kids, Says 'It's too Easy to Get a Gun'.html",,,,"My Computer\Desktop\Cubs' Anthony Rizzo Praises Parkland Kids, Says 'It's too Easy to Get a Gun'.html",0x0,,,,,,
C:\484\LNK\DarkWolf.lnk,2021-10-06 00:54:36,2018-03-30 03:33:50,2021-10-06 00:56:41,,,,0,..\..\..\..\..\Desktop\DarkWolf.png,C:\Users\jcloudy\Desktop,0,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\DarkWolf.png,,,,My Computer\Desktop\DarkWolf.png,0x0,,,,,,
C:\484\LNK\DeathToll.lnk,2021-10-06 00:54:36,2018-04-02 01:10:20,2021-10-06 00:56:41,2018-03-31 04:16:22,2018-03-31 04:16:22,2018-03-31 04:16:11,61596,..\..\..\..\..\Desktop\DeathToll.jpg,C:\Users\jcloudy\Desktop,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Desktop\DeathToll.jpg,,,,My Computer\Desktop\DeathToll.jpg,0x0,,desktop-pm6c56d,28:e3:47:01:77:77,LITEON,2018-03-30 05:03:09,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\484\LNK\DemGun.lnk,2021-10-06 00:54:36,2018-04-06 08:29:08,2021-10-06 00:56:41,2018-03-29 23:17:51,2018-03-29 23:17:52,2018-03-29 23:17:40,124847,..\..\..\..\..\Downloads\DemGun.jpg,C:\Users\jcloudy\Downloads,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasRelativePath, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),AA920881,,C:\Users\jcloudy\Downloads\DemGun.jpg,,,,My Computer\Downloads\DemGun.jpg,0x22350,0x5,desktop-pm6c56d,28:e3:47:01:77:77,LITEON,2018-04-06 07:50:45,"TrackerDataBaseBlock, PropertyStoreDataBlock"
